GEO UID ,Census Tract name ,Total Education,No certificate,High (secondary) school,Postsecondary  Education
5350586.03,0586.03,2255,245,620,1395
5350586.04,0586.04,3505,290,640,2575
5350586.05,0586.05,5190,370,1320,3505
5350587.01,0587.01,3215,170,850,2190
5350587.02,0587.02,2975,210,725,2030
5350590,0590.00,2795,265,1005,1525
5350591.01,0591.01,3015,230,980,1805
5350591.02,0591.02,2885,280,900,1705
5350592.01,0592.01,3655,405,1135,2115
5350592.02,0592.02,4015,210,1100,2705
5350593.01,0593.01,1685,150,480,1050
5350593.02,0593.02,910,45,200,660
5350593.03,0593.03,885,70,225,590
5350593.04,0593.04,1405,80,315,1000
5350600.01,0600.01,2875,35,265,2575
5350600.02,0600.02,3470,130,495,2840
5350601,0601.00,2150,10,190,1955
5350602,0602.00,2100,45,200,1860
5350603,0603.00,3295,225,685,2380
5350604,0604.00,985,40,145,800
5350605,0605.00,1285,55,190,1045
5350606,0606.00,2910,225,625,2070
5350607,0607.00,1655,110,340,1205
5350608,0608.00,1380,85,285,1015
5350609,0609.00,1340,15,175,1155
5350610.03,0610.03,1950,115,395,1440
5350610.04,0610.04,1270,50,235,990
5350610.05,0610.05,2430,25,270,2125
5350610.06,0610.06,2265,30,265,1980
5350611,0611.00,2485,95,485,1900
5350612.01,0612.01,,,,
5350612.03,0612.03,3135,70,370,2695
5350612.05,0612.05,2845,110,445,2295
5350612.08,0612.08,2735,115,360,2260
5350612.1,0612.10,35,0,0,30
5350612.11,0612.11,3110,65,355,2690
5350612.12,0612.12,3590,75,545,2970
5350612.13,0612.13,1740,25,170,1550
5350612.14,0612.14,2430,90,365,1980
5350612.15,0612.15,4380,50,470,3860
5350612.18,0612.18,2415,35,350,2030
5350612.19,0612.19,2270,65,220,1990
5350612.2,0612.20,2365,35,275,2065
5350612.21,0612.21,3705,45,400,3250
5350612.22,0612.22,4405,45,435,3920
5350612.23,0612.23,2525,85,285,2155
5350612.25,0612.25,2810,40,290,2480
5350612.26,0612.26,3695,115,425,3150
5350612.27,0612.27,2895,65,345,2485
5350612.28,0612.28,2075,30,185,1860
5350612.29,0612.29,2070,15,220,1835
5350613.01,0613.01,2140,100,465,1580
5350613.03,0613.03,2330,165,510,1655
5350613.04,0613.04,2355,135,540,1680
5350614.01,0614.01,1650,45,275,1330
5350614.02,0614.02,2065,65,420,1585
5350615,0615.00,11835,220,1230,10385
5350620.05,0620.05,2495,110,375,2010
5350620.06,0620.06,4290,235,700,3355
5350620.07,0620.07,2915,140,445,2325
5350620.09,0620.09,3490,170,525,2795
5350620.13,0620.13,1175,90,325,770
5350620.14,0620.14,3285,140,555,2590
5350620.15,0620.15,2330,120,400,1810
5350620.16,0620.16,1775,60,295,1425
5350620.17,0620.17,2670,100,510,2060
5350620.18,0620.18,2365,105,420,1840
5350620.19,0620.19,1670,55,265,1350
5350620.2,0620.20,2350,75,365,1915
5350620.21,0620.21,2865,95,410,2365
5350620.22,0620.22,2655,80,445,2125
5350620.23,0620.23,2380,105,495,1780
5350620.24,0620.24,3800,115,590,3100
5350620.25,0620.25,3275,110,420,2740
5350620.26,0620.26,1935,110,340,1485
5350620.27,0620.27,2375,60,395,1920
5350620.28,0620.28,2300,70,330,1905
5350620.29,0620.29,4005,210,565,3225
5350621,0621.00,2875,135,700,2045
5350622,0622.00,3205,220,825,2160
5350623,0623.00,1755,165,495,1090
5350624,0624.00,2840,240,720,1875
5350625,0625.00,255,25,70,160
5350626,0626.00,3065,215,725,2125
5350630,0630.00,1755,195,460,1100
5350631.02,0631.02,3320,170,765,2385
5350631.03,0631.03,2785,105,555,2115
5350631.04,0631.04,2940,120,555,2260
5350632,0632.00,2150,140,685,1330
5350633,0633.00,2175,140,625,1410
5350634.01,0634.01,2345,85,540,1720
5350634.02,0634.02,2035,160,565,1310
5350635,0635.00,3085,220,845,2015
5350636,0636.00,1765,120,355,1285
5350637,0637.00,3955,280,1035,2635
5350638,0638.00,3225,310,945,1970
5350639,0639.00,2460,230,700,1530
5350800.01,0800.01,2400,110,575,1725
5350800.02,0800.02,2580,230,780,1575
5350801.01,0801.01,2100,140,555,1405
5350801.02,0801.02,3190,160,685,2345
5350802.01,0802.01,2030,85,375,1570
5350802.02,0802.02,2860,50,455,2365
5350803.03,0803.03,2960,105,655,2195
5350803.04,0803.04,3460,155,670,2630
5350803.05,0803.05,3880,175,780,2925
5350803.06,0803.06,2975,155,695,2125
5350804.01,0804.01,3960,160,865,2935
5350804.05,0804.05,3780,145,825,2815
5350804.06,0804.06,1550,80,365,1105
5350804.07,0804.07,1955,145,510,1295
5350804.08,0804.08,2045,100,475,1465
5350804.1,0804.10,2255,150,585,1520
5350804.11,0804.11,3345,220,850,2275
5350804.12,0804.12,4855,300,1065,3485
5350804.13,0804.13,2770,250,740,1785
5350805.04,0805.04,4490,155,785,3545
5350805.06,0805.06,3370,265,965,2140
5350805.09,0805.09,3305,275,815,2215
5350805.1,0805.10,3790,280,925,2580
5350805.16,0805.16,3945,330,920,2690
5350805.17,0805.17,2900,230,650,2015
5350805.18,0805.18,1785,110,420,1265
5350805.19,0805.19,890,85,295,510
5350805.2,0805.20,2810,170,645,1995
5350805.21,0805.21,1040,60,260,715
5350805.22,0805.22,2635,215,565,1860
5350805.23,0805.23,3805,345,715,2745
5350805.24,0805.24,200,0,60,145
5350805.25,0805.25,5285,420,1165,3705
5350805.26,0805.26,195,15,30,150
5350805.27,0805.27,4780,380,1015,3380
5350806,0806.00,2685,165,560,1955
5350807,0807.00,1330,100,345,880
5350810.01,0810.01,2280,320,725,1240
5350810.02,0810.02,1195,70,350,780
5350810.03,0810.03,1615,90,445,1085
5350810.04,0810.04,3395,240,1030,2125
5350810.05,0810.05,1910,80,410,1420
5350811,0811.00,2215,260,600,1355
